subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Female 1- CBD- EB4- 4-16-21_DLC,0,923.0,88,923,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,1,1895.0,144,1895,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,2,3455.0,327,3455,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,3,1053.0,79,1053,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,4,1241.0,129,1241,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,5,1539.0,168,1539,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,6,0.0,0,0,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,7,393.0,22,393,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,8,773.0,75,773,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,9,201.0,7,201,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,10,1458.0,60,1458,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
Female 1- CBD- EB4- 4-16-21_DLC,11,2578.0,233,2578,Open-Field-Test\results\Female 1- CBD- EB4- 4-16-21_DLC\VAME\hmm-15
