,video_name,h5_file,development_exposure_window,treatment,full_video_path,full_h5_path
0,Subject 1 - JS1 - CBD- OFT_DLC.mp4,Subject 1 - JS1 - CBD- OFT_DLC.h5,P7-21,cbd,P7-21 - JS CBD OFT\Subject 1 - JS1 - CBD- OFT_DLC.mp4,P7-21 - JS CBD OFT\Subject 1 - JS1 - CBD- OFT_DLC.h5
1,Subject 2 - JS2 - CBD- OFT_DLC.mp4,Subject 2 - JS2 - CBD- OFT_DLC.h5,P7-21,cbd,P7-21 - JS CBD OFT\Subject 2 - JS2 - CBD- OFT_DLC.mp4,P7-21 - JS CBD OFT\Subject 2 - JS2 - CBD- OFT_DLC.h5
2,Subject 3 - JS3 - CBD - OFT_DLC.mp4,Subject 3 - JS3 - CBD - OFT_DLC.h5,P7-21,cbd,P7-21 - JS CBD OFT\Subject 3 - JS3 - CBD - OFT_DLC.mp4,P7-21 - JS CBD OFT\Subject 3 - JS3 - CBD - OFT_DLC.h5
3,Subject 4 - JS4 - CBD - OFT_DLC.mp4,Subject 4 - JS4 - CBD - OFT_DLC.h5,P7-21,cbd,P7-21 - JS CBD OFT\Subject 4 - JS4 - CBD - OFT_DLC.mp4,P7-21 - JS CBD OFT\Subject 4 - JS4 - CBD - OFT_DLC.h5
4,Subject 5 - JS5 - CBD - OFT_DLC.mp4,Subject 5 - JS5 - CBD - OFT_DLC.h5,P7-21,cbd,P7-21 - JS CBD OFT\Subject 5 - JS5 - CBD - OFT_DLC.mp4,P7-21 - JS CBD OFT\Subject 5 - JS5 - CBD - OFT_DLC.h5
5,Subject 2 - female GO Vehicle OFT_DLC.mp4,Subject 2 - female GO Vehicle OFT_DLC.h5,P7-21,vehicle,P7-21 2-11-22 Go OFT Vehicle\Subject 2 - female GO Vehicle OFT_DLC.mp4,P7-21 2-11-22 Go OFT Vehicle\Subject 2 - female GO Vehicle OFT_DLC.h5
6,Subject 3 - female GO - Vehicle OFT_DLC.mp4,Subject 3 - female GO - Vehicle OFT_DLC.h5,P7-21,vehicle,P7-21 2-11-22 Go OFT Vehicle\Subject 3 - female GO - Vehicle OFT_DLC.mp4,P7-21 2-11-22 Go OFT Vehicle\Subject 3 - female GO - Vehicle OFT_DLC.h5
7,Subject 4 - female GO - Vehicle OFT_DLC.mp4,Subject 4 - female GO - Vehicle OFT_DLC.h5,P7-21,vehicle,P7-21 2-11-22 Go OFT Vehicle\Subject 4 - female GO - Vehicle OFT_DLC.mp4,P7-21 2-11-22 Go OFT Vehicle\Subject 4 - female GO - Vehicle OFT_DLC.h5
8,Subject 5 - female GO - Vehicle OFT_DLC.mp4,Subject 5 - female GO - Vehicle OFT_DLC.h5,P7-21,vehicle,P7-21 2-11-22 Go OFT Vehicle\Subject 5 - female GO - Vehicle OFT_DLC.mp4,P7-21 2-11-22 Go OFT Vehicle\Subject 5 - female GO - Vehicle OFT_DLC.h5
9,Female 1- CBD- EB4- 4-16-21_DLC.mp4,Female 1- CBD- EB4- 4-16-21_DLC.h5,P14-28,cbd,P14-28 CBD OFT\Female 1- CBD- EB4- 4-16-21_DLC.mp4,P14-28 CBD OFT\Female 1- CBD- EB4- 4-16-21_DLC.h5
10,Female 2- CBD- EB5- 4-16-21_DLC.mp4,Female 2- CBD- EB5- 4-16-21_DLC.h5,P14-28,cbd,P14-28 CBD OFT\Female 2- CBD- EB5- 4-16-21_DLC.mp4,P14-28 CBD OFT\Female 2- CBD- EB5- 4-16-21_DLC.h5
11,Subject 1-CBD-EB1-4-19-21_DLC.mp4,Subject 1-CBD-EB1-4-19-21_DLC.h5,P14-28,cbd,P14-28 CBD OFT\Subject 1-CBD-EB1-4-19-21_DLC.mp4,P14-28 CBD OFT\Subject 1-CBD-EB1-4-19-21_DLC.h5
12,Subject 2-CBD-EB2-4-19-21_DLC.mp4,Subject 2-CBD-EB2-4-19-21_DLC.h5,P14-28,cbd,P14-28 CBD OFT\Subject 2-CBD-EB2-4-19-21_DLC.mp4,P14-28 CBD OFT\Subject 2-CBD-EB2-4-19-21_DLC.h5
13,Subject 3-CBD-EB3-4-19-21_DLC.mp4,Subject 3-CBD-EB3-4-19-21_DLC.h5,P14-28,cbd,P14-28 CBD OFT\Subject 3-CBD-EB3-4-19-21_DLC.mp4,P14-28 CBD OFT\Subject 3-CBD-EB3-4-19-21_DLC.h5
14,Subject 1-P14 vehicle-EZ1-8-3-2021_DLC.mp4,Subject 1-P14 vehicle-EZ1-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 1-P14 vehicle-EZ1-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 1-P14 vehicle-EZ1-8-3-2021_DLC.h5
15,Subject 2-P14 vehicle-EZ2-8-3-2021_DLC.mp4,Subject 2-P14 vehicle-EZ2-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 2-P14 vehicle-EZ2-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 2-P14 vehicle-EZ2-8-3-2021_DLC.h5
16,Subject 3-P14 vehicle-EZ3-8-3-2021_DLC.mp4,Subject 3-P14 vehicle-EZ3-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 3-P14 vehicle-EZ3-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 3-P14 vehicle-EZ3-8-3-2021_DLC.h5
17,Subject 4-P14 vehicle-EZ4-8-3-2021_DLC.mp4,Subject 4-P14 vehicle-EZ4-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 4-P14 vehicle-EZ4-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 4-P14 vehicle-EZ4-8-3-2021_DLC.h5
18,Subject 5-P14 vehicle-EZ5-8-3-21_DLC.mp4,Subject 5-P14 vehicle-EZ5-8-3-21_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 5-P14 vehicle-EZ5-8-3-21_DLC.mp4,P14-28 OFT Vehicle Group\Subject 5-P14 vehicle-EZ5-8-3-21_DLC.h5
19,Subject 6-P14 vehicle-EZ6-8-3-2021_DLC.mp4,Subject 6-P14 vehicle-EZ6-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 6-P14 vehicle-EZ6-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 6-P14 vehicle-EZ6-8-3-2021_DLC.h5
20,Subject 7-P14 vehicle-EZ7-8-3-2021_DLC.mp4,Subject 7-P14 vehicle-EZ7-8-3-2021_DLC.h5,P14-28,vehicle,P14-28 OFT Vehicle Group\Subject 7-P14 vehicle-EZ7-8-3-2021_DLC.mp4,P14-28 OFT Vehicle Group\Subject 7-P14 vehicle-EZ7-8-3-2021_DLC.h5
21,Subject 1-P28 vehicle-FV1-10-23-21_DLC.mp4,Subject 1-P28 vehicle-FV1-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 1-P28 vehicle-FV1-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 1-P28 vehicle-FV1-10-23-21_DLC.h5
22,Subject 2-P28 vehicle-FV2-10-23-21_DLC.mp4,Subject 2-P28 vehicle-FV2-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 2-P28 vehicle-FV2-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 2-P28 vehicle-FV2-10-23-21_DLC.h5
23,Subject 3-P28 vehicle-FV3-10-23-21_DLC.mp4,Subject 3-P28 vehicle-FV3-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 3-P28 vehicle-FV3-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 3-P28 vehicle-FV3-10-23-21_DLC.h5
24,Subject 4-P28 vehicle-FV4-10-23-21_DLC.mp4,Subject 4-P28 vehicle-FV4-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 4-P28 vehicle-FV4-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 4-P28 vehicle-FV4-10-23-21_DLC.h5
25,Subject 5-P28 vehicle-FV5-10-23-21_DLC.mp4,Subject 5-P28 vehicle-FV5-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 5-P28 vehicle-FV5-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 5-P28 vehicle-FV5-10-23-21_DLC.h5
26,Subject 6-P28 vehicle-FV6-10-23-21_DLC.mp4,Subject 6-P28 vehicle-FV6-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 6-P28 vehicle-FV6-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 6-P28 vehicle-FV6-10-23-21_DLC.h5
27,Subject 7-P28 vehicle-FV7-10-23-21_DLC.mp4,Subject 7-P28 vehicle-FV7-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 7-P28 vehicle-FV7-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 7-P28 vehicle-FV7-10-23-21_DLC.h5
28,Subject 8-P28 vehicle-FV8-10-23-21_DLC.mp4,Subject 8-P28 vehicle-FV8-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 8-P28 vehicle-FV8-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 8-P28 vehicle-FV8-10-23-21_DLC.h5
29,Subject 9-P28 vehicle-FV9-10-23-21_DLC.mp4,Subject 9-P28 vehicle-FV9-10-23-21_DLC.h5,P28-42,vehicle,P28-42 - OFT Vehicle Group\Subject 9-P28 vehicle-FV9-10-23-21_DLC.mp4,P28-42 - OFT Vehicle Group\Subject 9-P28 vehicle-FV9-10-23-21_DLC.h5
30,Female 3- CBD- DN1-02-19-21_DLC.mp4,Female 3- CBD- DN1-02-19-21_DLC.h5,P28-42,vehicle,P28-42 CDB Group Trial Videos\Female 3- CBD- DN1-02-19-21_DLC.mp4,P28-42 CDB Group Trial Videos\Female 3- CBD- DN1-02-19-21_DLC.h5
31,Female 4- CBD - DN2-02-19-21_DLC.mp4,Female 4- CBD - DN2-02-19-21_DLC.h5,P28-42,vehicle,P28-42 CDB Group Trial Videos\Female 4- CBD - DN2-02-19-21_DLC.mp4,P28-42 CDB Group Trial Videos\Female 4- CBD - DN2-02-19-21_DLC.h5
32,Female 5-CBD-DN3-02-19-21_DLC.mp4,Female 5-CBD-DN3-02-19-21_DLC.h5,P28-42,vehicle,P28-42 CDB Group Trial Videos\Female 5-CBD-DN3-02-19-21_DLC.mp4,P28-42 CDB Group Trial Videos\Female 5-CBD-DN3-02-19-21_DLC.h5
33,Female 6-CBD-DN4-02-19-21_DLC.mp4,Female 6-CBD-DN4-02-19-21_DLC.h5,P28-42,vehicle,P28-42 CDB Group Trial Videos\Female 6-CBD-DN4-02-19-21_DLC.mp4,P28-42 CDB Group Trial Videos\Female 6-CBD-DN4-02-19-21_DLC.h5
34,Female7-CBD-DN5-02-19-21_DLC.mp4,Female7-CBD-DN5-02-19-21_DLC.h5,P28-42,vehicle,P28-42 CDB Group Trial Videos\Female7-CBD-DN5-02-19-21_DLC.mp4,P28-42 CDB Group Trial Videos\Female7-CBD-DN5-02-19-21_DLC.h5
